GeneID	chr	start	end	labelCoord	FayWu_H	Fst	FuLi_D	FuLi_F	iHS	Tajima_D	label	stat	pops	source
EIF2AK3	chr2	88899214	88919214	chr2:88899214-88919214	-3.705	0.025	-5.654	-4.919	1.037	-2.156	FuLi_F:YRI:-4.919	FuLi_F	YRI	PopHumanScan
nonCoding9837	chr2	88936754	88946754	chr2:88936754-88946754	-1.972	0.052	-6.279	-5.408	0.791	-2.325	FuLi_D:ACB:-6.279,FuLi_F:ACB:-5.408	FuLi_D,FuLi_F	ACB	PopHumanScan
IGKC,IGKJ5,IGKJ4,IGKJ3,IGKJ2,nonCoding9845	chr2	89135503	89160115	chr2:89135503-89160115	-2.442	0.024	-9.495	-6.874	1.885	-2.402	FuLi_D:ACB:-6.532,BEB:-7.971,CDX:-7.439,CEU:-7.799,CHB:-8.753,CHS:-8.422,ESN:-9.495,FIN:-6.62,GWD:-9.134,IBS:-8.013,JPT:-7.491,LWK:-6.613,MSL:-7.099,TSI:-8.546,YRI:-8.305,FuLi_F:ESN:-6.874,GWD:-6.64,LWK:-4.967,MSL:-5.383,TSI:-6.362,YRI:-5.95	FuLi_D,FuLi_F	ACB,BEB,CDX,CEU,CHB,CHS,ESN,FIN,GWD,IBS,JPT,LWK,MSL,TSI,YRI	PopHumanScan
nonCoding9853	chr2	95567579	95597579	chr2:95567579-95597579	-1.59	0.022	-6.678	-5.78	1.615	-2.482	FuLi_D:YRI:-6.678,FuLi_F:YRI:-5.78,Tajima_D:ACB:-2.482,GWD:-2.423,YRI:-2.479	FuLi_D,FuLi_F,Tajima_D	YRI,ACB,GWD	PopHumanScan
nonCoding9857	chr2	95617290	95627290	chr2:95617290-95627290	-1.428	0.02	-7.07	-6.044	2.09	-2.381	FuLi_D:ITU:-7.07,FuLi_F:ITU:-6.044	FuLi_D,FuLi_F	ITU	PopHumanScan
nonCoding9860,nonCoding9861	chr2	95647290	95667290	chr2:95647290-95667290	-1.939	0.021	-6.494	-4.901	1.554	-2.397	FuLi_F:ESN:-4.901,Tajima_D:ESN:-2.34,YRI:-2.397	FuLi_F,Tajima_D	ESN,YRI	PopHumanScan
MRPS5	chr2	95764852	95774852	chr2:95764852-95774852	-0.658	0.013	-6.565	-5.861	1.382	-2.394	FuLi_D:PJL:-6.565,FuLi_F:CEU:-5.861,PJL:-5.849,Tajima_D:GWD:-2.394	FuLi_D,FuLi_F,Tajima_D	PJL,CEU,GWD	PopHumanScan
ZNF514,MRPS5	chr2	95808736	95818736	chr2:95808736-95818736	-2.358	0.024	-5.528	-4.885	2.618	-2.05	FuLi_F:YRI:-4.885	FuLi_F	YRI	PopHumanScan
ZNF2	chr2	95825679	95845679	chr2:95825679-95845679	-0.553	0.015	-6.381	-5.661	1.926	-2.273	FuLi_F:PJL:-5.661	FuLi_F	PJL	PopHumanScan
AC092835.1	chr2	95869139	95879139	chr2:95869139-95879139	-0.62	0.013	-6.806	-5.775	0	-2.535	FuLi_F:CDX:-5.775,Tajima_D:ACB:-2.535	FuLi_F,Tajima_D	CDX,ACB	PopHumanScan
PROM2	chr2	95931452	95941452	chr2:95931452-95941452	-1.005	0.018	-6.262	-5.383	0.312	-2.454	FuLi_F:GWD:-5.383	FuLi_F	GWD	PopHumanScan
nonCoding9865	chr2	96162396	96209902	chr2:96162396-96209902	-1.444	0.028	-6.6	-5.632	0	-1.901	FuLi_D:YRI:-6.6,FuLi_F:YRI:-5.632	FuLi_D,FuLi_F	YRI	PopHumanScan
nonCoding9867	chr2	96214244	96224244	chr2:96214244-96224244	-5.03	0.025	-5.535	-4.666	0	-2.117	FayWu_H:YRI:-5.03	FayWu_H	YRI	PopHumanScan
nonCoding9872	chr2	96359945	96369945	chr2:96359945-96369945	-0.923	0.023	-5.578	-5.223	0	-2.457	FuLi_F:ASW:-5.223,Tajima_D:ASW:-2.457	FuLi_F,Tajima_D	ASW	PopHumanScan
STARD7	chr2	96847268	96891321	chr2:96847268-96891321	1.209	0.042	-4.807	-4.535	1.919	-2.434	Tajima_D:MSL:-2.421,YRI:-2.434	Tajima_D	MSL,YRI	PopHumanScan
TMEM127	chr2	96905450	96915450	chr2:96905450-96915450	-1.059	0.028	-6.308	-5.279	1.228	-2.389	FuLi_F:ACB:-5.279	FuLi_F	ACB	PopHumanScan
FAM178B	chr2	97581795	97591795	chr2:97581795-97591795	-2.147	0.033	-6.99	-6.053	1.874	-2.476	FuLi_D:GIH:-6.726,ITU:-6.99,FuLi_F:GIH:-5.892,ITU:-6.053	FuLi_D,FuLi_F	GIH,ITU	PopHumanScan
VWA3B	chr2	98719380	98729380	chr2:98719380-98729380	-5.017	0.057	-5.389	-4.651	1.827	-2.373	FayWu_H:LWK:-5.017	FayWu_H	LWK	PopHumanScan
VWA3B	chr2	98782014	98792014	chr2:98782014-98792014	-0.88	0.053	-5.797	-4.753	1.592	-1.539	FuLi_D:LWK:-5.797	FuLi_D	LWK	PopHumanScan
INPP4A	chr2	99177778	99187778	chr2:99177778-99187778	1.402	0.023	-7.605	-5.883	2.07	-2.072	FuLi_D:IBS:-7.605	FuLi_D	IBS	PopHumanScan
AFF3	chr2	100509100	100535888	chr2:100509100-100535888	-2.82	0.044	-8.011	-6.513	0.866	-2.09	FuLi_D:IBS:-8.011,FuLi_F:IBS:-6.513	FuLi_D,FuLi_F	IBS	PopHumanScan
RNF149	chr2	101902052	101912052	chr2:101902052-101912052	-2.014	0.031	-6.283	-5.257	1.099	-2.089	FuLi_D:ESN:-6.283,FuLi_F:ESN:-5.257	FuLi_D,FuLi_F	ESN	PopHumanScan
IL1R2	chr2	102631445	102641445	chr2:102631445-102641445	-3.205	0.066	1.992	-2.387	1.153	3.172	FuLi_D:ACB:1.992	FuLi_D	ACB	PopHumanScan
TMEM182	chr2	103604663	103614663	chr2:103604663-103614663	-1.626	0.058	-7.255	-6.317	1.498	-2.47	FuLi_D:FIN:-6.666,STU:-7.255,FuLi_F:FIN:-5.851,STU:-6.317	FuLi_D,FuLi_F	FIN,STU	PopHumanScan
nonCoding10100	chr2	105214036	105237425	chr2:105214036-105237425	-7.252	0.072	-5.837	-5.029	1.206	-2.288	FayWu_H:GBR:-7.252	FayWu_H	GBR	PopHumanScan
NCK2	chr2	106478401	106498401	chr2:106478401-106498401	-5.82	0.028	-5.86	-4.792	1.62	-2.403	FayWu_H:ACB:-5.022,ASW:-4.77,ESN:-5.82,LWK:-5.048,MSL:-4.662,YRI:-5.027,Tajima_D:GWD:-2.403	FayWu_H,Tajima_D	ACB,ASW,ESN,LWK,MSL,YRI,GWD	PopHumanScan
nonCoding10180	chr2	106918864	106928864	chr2:106918864-106928864	6.845	0.035	-2.018	15.074	1.425	48.306	FuLi_F:ASW:15.074,Tajima_D:ASW:48.306	FuLi_F,Tajima_D	ASW	PopHumanScan
nonCoding10203	chr2	107359011	107384871	chr2:107359011-107384871	-3.493	0.044	-4.554	-4.215	2.122	-2.335	XPEHH:CEU2CHB:1.796	XPEHH	CEU2CHB	PopHumanScan
nonCoding10273	chr2	108282434	108316550	chr2:108282434-108316550	-5.785	0.246	1.722	2.873	1.322	3.161	Fst:CEU2CHB:0.246	Fst	CEU2CHB	PopHumanScan
nonCoding10308,nonCoding10309,nonCoding10310,nonCoding10306,nonCoding10307	chr2	108942137	109052466	chr2:108942137-109052466	8.243	0.171	-4.325	7.935	3.265	14.543	iHS:KHV:3.265,XPEHH:YRI2CHB:2.531	iHS,XPEHH	KHV,YRI2CHB	PopHumanScan
RANBP2	chr2	109248531	109396366	chr2:109248531-109396366	-3.136	0.108	-4.047	-3.62	2.409	-2.157	XPEHH:YRI2CHB:2.952	XPEHH	YRI2CHB	PopHumanScan
EDAR,CCDC138	chr2	109450405	109606617	chr2:109450405-109606617	-5.376	0.132	-5.857	-5.211	3.212	-2.434	iHS:CHS:3.212,XPEHH:CEU2CHB:1.781,YRI2CHB:2.98	iHS,XPEHH	CHS,CEU2CHB,YRI2CHB	PopHumanScan
ZC3H8,nonCoding10352	chr2	112957757	112994165	chr2:112957757-112994165	-2.316	0.044	-5.945	-5.204	1.551	-2.481	FuLi_D:YRI:-5.945,FuLi_F:ASW:-5.095,MSL:-4.872,YRI:-5.204,Tajima_D:ASW:-2.481,MSL:-2.457	FuLi_D,FuLi_F,Tajima_D	YRI,ASW,MSL	PopHumanScan
ZC3H6	chr2	113042231	113052231	chr2:113042231-113052231	0.54	0.062	-4.344	-2.733	3.264	1.743	iHS:IBS:3.264	iHS	IBS	PopHumanScan
IL37	chr2	113665594	113685594	chr2:113665594-113685594	14.517	0.15	-3.025	32.984	0.943	89.345	FayWu_H:ACB:13.178,ESN:14.517,GWD:12.031,YRI:14.433,FuLi_F:ACB:21.6,ASW:19.093,ESN:17.032,FIN:15.764,GBR:14.883,GWD:16.911,ITU:15.815,MSL:28.69,PJL:14.98,YRI:32.984,Tajima_D:ACB:56.467,ASW:51.751,ESN:46.029,FIN:42.348,GBR:40.25,GWD:42.37,ITU:42.808,MSL:79.114,PJL:41.102,STU:35.088,YRI:89.345	FayWu_H,FuLi_F,Tajima_D	ACB,ESN,GWD,YRI,ASW,FIN,GBR,ITU,MSL,PJL,STU	PopHumanScan
IL36B	chr2	113769880	113799880	chr2:113769880-113799880	12.316	0.096	-2.942	16.379	1.029	44.162	FayWu_H:IBS:12.316,FuLi_F:CEU:16.379,FIN:13.302,Tajima_D:CEU:44.162,FIN:35.577,IBS:30.073	FayWu_H,FuLi_F,Tajima_D	IBS,CEU,FIN	PopHumanScan
nonCoding10448	chr2	116898193	116908193	chr2:116898193-116908193	-4.413	0.148	2.512	4.048	1.327	4.352	FuLi_D:CDX:2.512,STU:2.147	FuLi_D	CDX,STU	PopHumanScan
nonCoding10491	chr2	117417848	117427848	chr2:117417848-117427848	-5.812	0.029	-5.733	-4.631	2.04	-1.918	FuLi_D:FIN:-5.733	FuLi_D	FIN	PopHumanScan
nonCoding10502	chr2	117534973	117554973	chr2:117534973-117554973	-4.657	0.053	-7.649	-4.988	1.373	-2.319	FuLi_D:FIN:-5.961,KHV:-7.649,FuLi_F:FIN:-4.988	FuLi_D,FuLi_F	FIN,KHV	PopHumanScan
nonCoding10504	chr2	117595680	117699956	chr2:117595680-117699956	-1.913	0.07	-2.126	1.807	3.62	2.861	iHS:JPT:3.62	iHS	JPT	PopHumanScan
nonCoding10675	chr2	121239330	121261507	chr2:121239330-121261507	-8.117	0.074	-2.833	-2.105	2.571	2.516	FayWu_H:FIN:-8.117	FayWu_H	FIN	PopHumanScan
GLI2	chr2	121693646	121723646	chr2:121693646-121723646	-5.966	0.195	-6.22	-5.616	2.844	-2.805	Tajima_D:CEU:-2.636,KHV:-2.805	Tajima_D	CEU,KHV	PopHumanScan
CLASP1	chr2	122090926	122140926	chr2:122090926-122140926	-3.822	0.072	-5.408	-4.259	3.227	-2.038	iHS:GBR:3.227	iHS	GBR	PopHumanScan
CLASP1	chr2	122361770	122381770	chr2:122361770-122381770	-6.539	0.116	-3.549	-2.501	5.147	2.434	iHS:LWK:5.147,MSL:3.489,YRI:3.886	iHS	LWK,MSL,YRI	PopHumanScan
nonCoding10757	chr2	123080682	123090682	chr2:123080682-123090682	-2.19	0.041	-5.948	-4.973	1.879	-2.031	FuLi_D:FIN:-5.948,FuLi_F:FIN:-4.973	FuLi_D,FuLi_F	FIN	PopHumanScan
nonCoding10773	chr2	123268016	123278016	chr2:123268016-123278016	-3.971	0.105	-7.327	-6.301	1.802	-2.272	FuLi_D:CHS:-7.327,FuLi_F:CHS:-6.301	FuLi_D,FuLi_F	CHS	PopHumanScan
nonCoding10785	chr2	123426841	123457959	chr2:123426841-123457959	-2.099	0.096	-3.142	-2.547	3.232	-1.342	iHS:IBS:3.232	iHS	IBS	PopHumanScan
nonCoding10814	chr2	123830575	123840575	chr2:123830575-123840575	19.967	0.102	0	0	1.974	0	FayWu_H:ACB:15.05,ASW:15.71,BEB:18.593,CDX:19.967,CEU:18.42,CHB:18.256,CHS:19.498,ESN:14.816,FIN:19.395,GBR:18.922,GIH:18.85,GWD:15.091,IBS:18.719,ITU:17.923,JPT:19.325,KHV:18.34,LWK:13.735,MSL:13.487,PJL:17.605,STU:18.414,TSI:17.703,YRI:13.684	FayWu_H	ACB,ASW,BEB,CDX,CEU,CHB,CHS,ESN,FIN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,PJL,STU,TSI,YRI	PopHumanScan
nonCoding10841,nonCoding10842	chr2	124225618	124261087	chr2:124225618-124261087	13.744	0.055	-4.833	31.039	1.114	86.719	FayWu_H:CHB:12.305,CHS:13.138,FIN:13.744,GIH:12.234,FuLi_F:ASW:22.331,BEB:18.641,CDX:31.039,CEU:18.339,CHS:18.989,ESN:18.613,FIN:21.185,GBR:26.962,GIH:21.426,GWD:19.467,ITU:20.471,JPT:28.218,KHV:28.536,LWK:22.964,MSL:19.525,PJL:29.072,STU:18.225,TSI:15.874,YRI:19.27,Tajima_D:ASW:58.747,BEB:56.675,CDX:85.243,CEU:50.694,CHS:57.16,ESN:46.497,FIN:57.259,GBR:73.76,GIH:58.017,GWD:47.629,IBS:30.671,ITU:55.717,JPT:82.504,KHV:83.463,LWK:68.996,MSL:50.91,PJL:86.719,STU:56.17,TSI:45.812,YRI:49.527	FayWu_H,FuLi_F,Tajima_D	CHB,CHS,FIN,GIH,ASW,BEB,CDX,CEU,ESN,GBR,GWD,ITU,JPT,KHV,LWK,MSL,PJL,STU,TSI,YRI,IBS	PopHumanScan
CNTNAP5	chr2	124861665	124871665	chr2:124861665-124871665	-1.674	0.074	2.367	-2.4	1.894	-1.402	FuLi_D:CEU:2.367	FuLi_D	CEU	PopHumanScan
CNTNAP5	chr2	125618101	125628101	chr2:125618101-125628101	-1.616	0.053	-7.541	-6.635	2.358	-2.648	FuLi_D:IBS:-7.541,FuLi_F:CEU:-5.952,IBS:-6.635,TSI:-6.136	FuLi_D,FuLi_F	IBS,CEU,TSI	PopHumanScan
nonCoding10883,nonCoding10884	chr2	125687476	125717287	chr2:125687476-125717287	-3.229	0.071	-5.519	-4.631	1.277	-1.868	FuLi_D:MSL:-5.519,FuLi_F:MSL:-4.631	FuLi_D,FuLi_F	MSL	PopHumanScan
nonCoding10910,nonCoding10911,nonCoding10912	chr2	126130777	126224296	chr2:126130777-126224296	-4.224	0.324	-2.613	2.503	1.736	2.54	Fst:CEU2CHB:0.324,YRI2CHB:0.259	Fst	CEU2CHB,YRI2CHB	PopHumanScan
nonCoding10972	chr2	127054491	127064491	chr2:127054491-127064491	-2.165	0.021	-6.355	-5.17	2.273	-2.225	FuLi_D:LWK:-6.355,FuLi_F:LWK:-5.17	FuLi_D,FuLi_F	LWK	PopHumanScan
nonCoding10989	chr2	127252728	127262728	chr2:127252728-127262728	-3.858	0.058	-7.584	-6.538	1.573	-2.389	FuLi_D:CHB:-7.584,FuLi_F:CHB:-6.538	FuLi_D,FuLi_F	CHB	PopHumanScan
nonCoding10993	chr2	127272728	127302728	chr2:127272728-127302728	-4.718	0.082	-6.293	-5.62	1.535	-2.674	Tajima_D:CDX:-2.674	Tajima_D	CDX	PopHumanScan
nonCoding11013	chr2	127606252	127616252	chr2:127606252-127616252	-7.455	0.124	-4.512	-4.194	1.954	-2.565	FayWu_H:KHV:-7.455	FayWu_H	KHV	PopHumanScan
nonCoding11065	chr2	129335689	129355689	chr2:129335689-129355689	-8.087	0.171	-4.224	-3.974	1.743	-2.381	FayWu_H:IBS:-8.087,TSI:-8.026	FayWu_H	IBS,TSI	PopHumanScan
nonCoding11066	chr2	129365651	129375651	chr2:129365651-129375651	-5.306	0.101	-5.139	-4.7	2.407	-2.569	Tajima_D:FIN:-2.569	Tajima_D	FIN	PopHumanScan
nonCoding11077	chr2	129502392	129512392	chr2:129502392-129512392	-3.757	0.096	2.381	3.343	2.047	3.237	FuLi_D:ESN:2.381	FuLi_D	ESN	PopHumanScan
nonCoding11139	chr2	130318811	130328811	chr2:130318811-130328811	-1.135	0.052	2.652	2.288	1.328	2.256	FuLi_D:FIN:2.652	FuLi_D	FIN	PopHumanScan
ARHGEF4	chr2	131779162	131789162	chr2:131779162-131789162	-7.029	0.147	-5.618	-4.928	2.23	-2.557	FayWu_H:CEU:-7.029	FayWu_H	CEU	PopHumanScan
ARHGEF4,FAM168B	chr2	131793103	131838868	chr2:131793103-131838868	-1.448	0.035	-5.444	-4.773	3.22	-2.182	iHS:IBS:3.22	iHS	IBS	PopHumanScan
nonCoding11183	chr2	132319374	132329374	chr2:132319374-132329374	-1.725	0.06	-7.453	-5.834	1.712	-1.417	FuLi_D:KHV:-7.453	FuLi_D	KHV	PopHumanScan
TMEM163	chr2	135214971	135224971	chr2:135214971-135224971	3.281	0.09	2.213	3.24	2.186	3.542	FuLi_D:ITU:2.213	FuLi_D	ITU	PopHumanScan
TMEM163	chr2	135304200	135334200	chr2:135304200-135334200	-2.887	0.043	-6.245	-5.653	2.029	-2.454	XPEHH:CEU2YRI:2.484	XPEHH	CEU2YRI	PopHumanScan
ACMSD,nonCoding11239,CCNT2	chr2	135566751	135716406	chr2:135566751-135716406	4.012	0.153	-6.132	-4.733	3.667	6.836	iHS:CEU:3.667,FIN:3.355,XPEHH:CEU2CHB:2.05	iHS,XPEHH	CEU,FIN,CEU2CHB	PopHumanScan
ZRANB3,MAP3K19,RAB3GAP1,R3HDM1,UBXN4,LCT,MCM6,nonCoding11240,DARS,nonCoding11241,nonCoding11242,nonCoding11243,nonCoding11244,nonCoding11246,nonCoding11247	chr2	135792491	136822774	chr2:135792491-136822774	-5.341	0.129	-6.99	-5.755	5.349	3.474	FuLi_D:ITU:-6.99,iHS:ACB:3.446,ASW:5.349,CEU:3.89,ESN:4.071,FIN:3.94,GBR:4.037,GWD:4.489,IBS:3.117,JPT:3.433,LWK:3.363,MSL:4.086,YRI:4.828,XPEHH:CEU2CHB:3.271,CEU2YRI:3.752,Alpha:PJL:0.833,TSI:0.833,KHV:0.879,IBS:0.833,BEB:0.801,ITU:0.81,CEU:0.857,CHB:0.879,CHS:0.883,FIN:0.75,GIH:0.81,GWD:0.706,STU:0.833,JPT:0.833	FuLi_D,iHS,XPEHH	ACB,ASW,BEB,CEU,CEU2CHB,CEU2YRI,CHB,CHS,ESN,FIN,GBR,GIH,GWD,IBS,ITU,JPT,KHV,LWK,MSL,PJL,STU,TSI,YRI	PopHumanScan
nonCoding11262	chr2	136983966	137023569	chr2:136983966-137023569	-1.849	0.099	-3.908	-2.621	2.172	1.357	XPEHH:CEU2YRI:2.445	XPEHH	CEU2YRI	PopHumanScan
nonCoding11277	chr2	137186164	137196164	chr2:137186164-137196164	-4.419	0.066	-2.353	-2.089	1.626	-1.632	XPEHH:CEU2YRI:2.45	XPEHH	CEU2YRI	PopHumanScan
SPOPL	chr2	139263217	139283217	chr2:139263217-139283217	-1.91	0.055	-5.486	-4.553	3.702	-1.648	iHS:ASW:3.702	iHS	ASW	PopHumanScan
nonCoding11363	chr2	139357096	139367096	chr2:139357096-139367096	-1.82	0.031	-7.232	-6.074	1.226	-2.157	FuLi_D:CDX:-7.232,FuLi_F:CDX:-6.074	FuLi_D,FuLi_F	CDX	PopHumanScan
ARHGAP15	chr2	144473968	144483968	chr2:144473968-144483968	-0.952	0.028	-5.659	-5.006	1.767	-2.148	FuLi_D:ESN:-5.659,FuLi_F:ESN:-5.006	FuLi_D,FuLi_F	ESN	PopHumanScan
GTDC1	chr2	144770103	144800103	chr2:144770103-144800103	-4.989	0.022	-3.179	-3.5	1.833	-2.527	Tajima_D:FIN:-2.527	Tajima_D	FIN	PopHumanScan
GTDC1	chr2	145090301	145100301	chr2:145090301-145100301	-1.956	0.034	-7.349	-6.482	1.816	-2.376	FuLi_F:KHV:-6.482,PJL:-5.79	FuLi_F	KHV,PJL	PopHumanScan
nonCoding11532	chr2	145107024	145117024	chr2:145107024-145117024	-2.537	0.027	-5.789	-4.893	1.993	-2.438	FuLi_F:YRI:-4.893	FuLi_F	YRI	PopHumanScan
ZEB2	chr2	145120923	145130923	chr2:145120923-145130923	-1.671	0.018	-5.579	-5.071	1.526	-2.327	Tajima_D:ESN:-2.327	Tajima_D	ESN	PopHumanScan
nonCoding11589	chr2	145982399	145992399	chr2:145982399-145992399	-7.676	0.069	-4.08	-3.709	1.449	-2.273	FayWu_H:BEB:-6.778,CDX:-7.676,CHS:-7.347,GBR:-7.633,ITU:-6.855,STU:-6.67	FayWu_H	BEB,CDX,CHS,GBR,ITU,STU	PopHumanScan
nonCoding11665	chr2	147041358	147061358	chr2:147041358-147061358	-1.602	0.05	-6.757	-5.389	1.677	-1.805	FuLi_D:ACB:-6.757,FuLi_F:ACB:-5.389	FuLi_D,FuLi_F	ACB	PopHumanScan
MBD5	chr2	148863245	148899959	chr2:148863245-148899959	-2.258	0.035	-4.48	-3.832	5.359	1.771	iHS:ACB:3.483,ASW:4.985,ESN:5.359,GWD:4.454,LWK:4.295,MSL:5.181,Alpha:ACB:0.911	iHS	ACB,ASW,ESN,GWD,LWK,MSL	PopHumanScan
nonCoding11799	chr2	149618560	149628560	chr2:149618560-149628560	-2.68	0.069	-7.28	-6.459	0	-2.564	FuLi_F:CHB:-6.459	FuLi_F	CHB	PopHumanScan
nonCoding11879	chr2	151488902	151498902	chr2:151488902-151498902	-2.201	0.041	1.9	2.126	1.125	2.301	FuLi_D:ASW:1.9	FuLi_D	ASW	PopHumanScan
nonCoding11908	chr2	151805196	151825196	chr2:151805196-151825196	4.922	0.054	2.354	5.325	0.998	7.56	FuLi_D:GIH:2.354	FuLi_D	GIH	PopHumanScan
nonCoding12078	chr2	156149983	156159983	chr2:156149983-156159983	-5.488	0.019	-4.735	-4.034	1.837	-2.115	FayWu_H:YRI:-5.488	FayWu_H	YRI	PopHumanScan
nonCoding12087	chr2	156208315	156268315	chr2:156208315-156268315	-1.935	0.024	-4.352	-3.549	3.275	-1.829	iHS:GBR:3.275	iHS	GBR	PopHumanScan
nonCoding12185	chr2	157898001	157908001	chr2:157898001-157908001	-1.568	0.034	-6.608	-5.768	1.435	-2.383	FuLi_D:STU:-6.608,FuLi_F:STU:-5.768	FuLi_D,FuLi_F	STU	PopHumanScan
GALNT5	chr2	158146623	158166623	chr2:158146623-158166623	-4.646	0.111	-4.254	-3.661	2.57	-2.313	XPEHH:CEU2YRI:2.69	XPEHH	CEU2YRI	PopHumanScan
nonCoding12204	chr2	158211447	158221447	chr2:158211447-158221447	-7.254	0.032	-5.902	-5.299	1.407	-2.279	FayWu_H:CEU:-7.254	FayWu_H	CEU	PopHumanScan
CYTIP	chr2	158321486	158344950	chr2:158321486-158344950	-6.421	0.069	-6.485	-5.806	1.69	-2.725	Tajima_D:BEB:-2.725	Tajima_D	BEB	PopHumanScan
nonCoding12208,nonCoding12207,nonCoding12209	chr2	158489610	158531373	chr2:158489610-158531373	-1.854	0.078	-5.298	-4.899	3.774	-2.43	iHS:BEB:3.183,STU:3.774	iHS	BEB,STU	PopHumanScan
ACVR1	chr2	158613608	158674420	chr2:158613608-158674420	-2.785	0.061	-6.158	-5.451	3.115	-2.403	iHS:PJL:3.115	iHS	PJL	PopHumanScan
WDSUB1	chr2	160118569	160128569	chr2:160118569-160128569	-1.351	0.159	2.311	2.176	1.88	1.449	FuLi_D:CDX:2.311	FuLi_D	CDX	PopHumanScan
PLA2R1	chr2	160866177	160876177	chr2:160866177-160876177	-2.046	0.084	2.136	2.257	1.338	2.839	FuLi_D:CHB:2.136	FuLi_D	CHB	PopHumanScan
PSMD14	chr2	162208425	162256438	chr2:162208425-162256438	-2.005	0.045	-6.737	-5.701	1.113	-2.164	FuLi_D:ACB:-6.737,LWK:-6.322,FuLi_F:ACB:-5.701,LWK:-5.305	FuLi_D,FuLi_F	ACB,LWK	PopHumanScan
FAP	chr2	163036349	163046349	chr2:163036349-163046349	-1.755	0.036	-5.8	-5.156	2.139	-2.521	FuLi_D:ASW:-5.791,LWK:-5.8,FuLi_F:ASW:-5.156,LWK:-5.054	FuLi_D,FuLi_F	ASW,LWK	PopHumanScan
FAP	chr2	163101859	163121859	chr2:163101859-163121859	-4.894	0.06	-7.641	-6.423	2.049	-2.641	FuLi_D:TSI:-7.641,FuLi_F:TSI:-6.423,Tajima_D:LWK:-2.52,TSI:-2.641	FuLi_D,FuLi_F,Tajima_D	TSI,LWK	PopHumanScan
IFIH1	chr2	163131859	163151859	chr2:163131859-163151859	-5.53	0.121	-5.974	-5.422	2.271	-2.661	Tajima_D:BEB:-2.661	Tajima_D	BEB	PopHumanScan
KCNH7	chr2	163288299	163298299	chr2:163288299-163298299	-1.961	0.066	-6.981	-6.137	1.12	-2.417	FuLi_F:TSI:-6.137	FuLi_F	TSI	PopHumanScan
SCN1A	chr2	166858426	166868426	chr2:166858426-166868426	0.821	0.045	-7.442	-5.928	1.535	-1.646	FuLi_D:IBS:-7.442	FuLi_D	IBS	PopHumanScan
XIRP2	chr2	168020954	168040954	chr2:168020954-168040954	-5.77	0.045	2.335	1.031	1.728	-2.451	FuLi_D:CDX:2.335	FuLi_D	CDX	PopHumanScan
nonCoding12458	chr2	168240674	168250674	chr2:168240674-168250674	-7.004	0.037	-7.016	-6.036	2.573	-2.743	FayWu_H:IBS:-7.004	FayWu_H	IBS	PopHumanScan
nonCoding12519	chr2	169906456	169916456	chr2:169906456-169916456	-5.599	0.033	-4.003	-3.703	1.621	-2.124	FayWu_H:ACB:-5.028,ESN:-5.599,LWK:-4.811,MSL:-5.433,YRI:-5.418	FayWu_H	ACB,ESN,LWK,MSL,YRI	PopHumanScan
MYO3B	chr2	171120677	171130677	chr2:171120677-171130677	-5.987	0.093	-3.802	-4.006	2.758	-2.652	Tajima_D:CDX:-2.652	Tajima_D	CDX	PopHumanScan
SLC25A12,HAT1	chr2	172742419	172880598	chr2:172742419-172880598	1.047	0.043	-3.307	-3.146	3.345	-1.65	iHS:CHB:3.345	iHS	CHB	PopHumanScan
nonCoding12624	chr2	174643558	174653558	chr2:174643558-174653558	-2.947	0.018	-5.068	-4.777	1.183	-2.465	Tajima_D:ASW:-2.465,MSL:-2.391	Tajima_D	ASW,MSL	PopHumanScan
nonCoding12733	chr2	177335724	177355724	chr2:177335724-177355724	-1.237	0.036	-4.522	-3.773	3.289	-1.95	iHS:CHS:3.289	iHS	CHS	PopHumanScan
nonCoding12745	chr2	177437327	177467327	chr2:177437327-177467327	-2.487	0.066	-5.615	-5.092	2.189	-2.38	XPEHH:YRI2CHB:2.525	XPEHH	YRI2CHB	PopHumanScan
nonCoding12755	chr2	177571150	177601150	chr2:177571150-177601150	-1.619	0.097	-6.631	-5.936	2.229	-2.594	FuLi_F:JPT:-5.936,Tajima_D:JPT:-2.594	FuLi_F,Tajima_D	JPT	PopHumanScan
AGPS	chr2	178424839	178434839	chr2:178424839-178434839	-7.609	0.088	-4.616	-4.396	1.071	-2.477	FayWu_H:JPT:-7.609	FayWu_H	JPT	PopHumanScan
TTN	chr2	179465171	179475171	chr2:179465171-179475171	-1.479	0.026	-6.667	-5.942	1.636	-2.47	FuLi_D:GIH:-6.667,FuLi_F:GIH:-5.942,YRI:-4.941	FuLi_D,FuLi_F	GIH,YRI	PopHumanScan
ZNF385B	chr2	180422366	180432366	chr2:180422366-180432366	-7.869	0.119	-3.013	-2.439	1.283	-2.185	FayWu_H:CHB:-7.869	FayWu_H	CHB	PopHumanScan
